"","row_num","sentiment","textOriginal"
"1",3,1,"@baboon pk tepat"
"2",4,-1,"@bejo raharjo haha, gausah dikasih tau orang yg kritis mash jg sadar.."
"3",5,-1,"@Djo Phian saya slalu berdoa agar rezim dzalim ini tumbang segera. tiada kekuasaan yg abadi dan kedzaliman pasti akan berakhir pada waktunya :)"
"4",8,1,"@kue gue yang mengesahkan HGU kan pemerintah terhadap PIHAK SWASTA. 

Ya sama aja kan kayak kita ngontrak rumah. Lu kalau ngontrak rumah bayar setahun tpi baru 3 bulan lu tempatin disuruh kosongin tpi sisa kontraknya gak diganti rugi lu mau?"
"5",11,0,"@Ngabloo bae bukan berpura-pura bodoh. Karena dari pertanyaan, kita mendapat jawaban. Setidaknya kebenaran akan terungkap dari pertanyaan yang diajukan."
"6",13,0,"@Rio Rinelko  zalim yg kamu maksut sp bro jgn sok agamis lo krn lo juga belum tentu masuk surga dan kamu kontribusi mu buat negara apa jgn cuma jd benalu di indo bisa nya cuma hujat dan tidak ada kontribusi nya buat negara ."
"7",14,0,"@rumblemumble kalau cukup ijinnya tidak diperpanjang bagus, tpi kalau pemerintah ingin mengambil HGU ya gnti rugi sisa kontrak HGU nya, masa saya bayar setahun kontrak rumah baru 6 suruh dikosongin dan gak diganti rugi sisa kontraknya, percuma dong saya ngontrak malah rugi"
"8",17,0,"@SANG MUTIARAILHAM Mutiara ilham kaum sakit hati ya kamu haha"
"9",18,-3,"@THE STRANGER iya itu kan pemikiran mu ya, nyatanya prabowo dan hashim tidak komentar apa-apa, mungkin karena dikasih jatah proses air juga diperusahaan airnya hashim. kalau yang urusan kontrak mengkontrak itu tinggal dibaca aja diperjanjiannya berapa lama dan kapan selesainya, yang jelas gubernurnya tadi sendiri bicara bahwa pengusaha2 itu membiarkan tanahnya diambil negara, dan ijinnya tidak diperpanjang. beres. selebihnya silahkan anda pikir sendiri mau suudzon atau khusnudzon."
"10",19,-1,"@THE STRANGER kalau hgu memang begitu cara kerjanya,kl gk mau lu pindah aja bikin hgu sesukamu di planet lain."
"11",21,-1,"""digaji"", itu kata kerja pasif jadi ""di""-nya harus digabung"
"12",22,4,"""rela rela aja mereka kan punya kebanggaan,kebanggaan gak dri cuan"" oalah pakk apa lagi yg di sembunyikan"
"13",23,1,"""Yg penting keluarga ku kenyang"""
"14",26,-1,"8:41 gausah ngles pak , bisnis is bisnis. Ada kesempatan dapet Cuan ya pasti disikat gak mungkin direlain gitu aja."
"15",28,-5,"https://youtu.be/HAvUl73lerw
Ada oknum² yang sangat Dungu.
Lagi lagi bawa PKI ke isu IKN.
https://youtu.be/suCzCbUl9Ws
Entah apa hubungannya??
Selalu bawa² isu PKI.
https://youtu.be/WvPs3C8PnHM
Tanpa bisa membawa bukti.
https://youtu.be/8BUoZjv54LM
Jangan² justru diri sendirilah yang....!? https://youtu.be/dIJvr8kEKcQ
Jadi bagai maling teriak maling.
https://youtu.be/gSeNa15DG1I 
NKRI HARGA MATI ✊"
"16",29,-8,"*_Lagian maksa banget Si Raja Fir'aun krempeng planga plongo mindahin ibu kota macam lg kebanyakan uang aja negara,, padahal negara juga lg empot-empotan buat bayar bunga hutang blm lg hutang pokoknya,, perlu ditelusuri ini ada apa dan siapa dibalik rencana busuk ini,, pasti mereka(rezim PKI) sudah ada kontrak dgn mafia-mafia BAJINGAN pengeruk uang negara sehingga rencana busuk ini harus segera terlaksana,,_*"
"17",31,4,"*mata Najwa tukang rusuh*
*Kalau gak merusuh gak makan*
*Cari makan dengan merusuhi usaha pemerintah*

*Bagus2 pemerintah membangun wilayah calon ibukota baru biar maju malah dirusuhi*

*masyarakat disana banyak yg komentar negatif dengan pemerintah memindahkan ibukota karena mereka berpendidikan rendah sehingga gak tahu manfaat positif kemajuan yg akan dialami oleh wilayah mereka*

*Kenapa mata Najwa gak mewawancarai masyarakat yg sudah berpendidikan tinggi disana yg jauh lebih bisa melihat manfaat pembangunan akibat pembangunan ibukota baru ?*"
"18",33,4,"🇮🇩Justru kalo tanah sebagian besar dikuasai korporasi lebih mudah dan cepat nego dibanding dengan penduduk orang per orang. Ide bagus nih gak usah di goreng2 gak jelas lah @najwa #najwa"
"19",35,1,"💜 Alhamdulillah.. terimakasih syarifah najwa 👍 SALAM SAUDARA 🇲🇨"
"20",39,1,"1 persen org2 superkaya mnguasai 99 persen kekayaan indonesia..pemerintah harusnya malu ga mampu meratakan kekayaan alam untuk sebesar2nya buat kesejahteraan rakyat0"
"21",40,0,"1% menguasai kekayaan"
"22",41,-5,"180 ribu HA...oooo.kt p owi..lahan tanah telah dikuasai ...bohong...bohong lagi 
..kok suka berbohong yaa 
.ambisi memang perlu...kalau dibungkus kebohongan ...apa jadinya ...mau dibawa kemana IKN ke depan ,???,"
"23",45,-10,"Ada baikx pemerintah mendata n mencatat nama2 & alamat gerombolan suku dayak+pemimpin besarx iblis cilik riwut, iblis wa.gara, iblis sabran ahmad, iblis kma usop, iblis fam leiden, iblis fam tongken, iblis fam binti, iblis fam narang dkk + keturunanx+kroni2x,.serahkan ke densus 88 agar mreka bs segra ditangkap, dipenjarakan seumur hudup, atau lgs dibunuh aja biar mreka tdk bs lg menteror, mempersekusi, mmbunuh n memeras sesama dayak maupun membunuh memenggal kpala warga madura jawa sunda bugis mksr padang banjar dll thn 2001 lalu,..mohon densus 88 segra bertindak,..amen tks TYM"
"24",46,1,"Ada keluwarga  besar."
"25",48,0,"Ada proyek dibalik ibu kota baru......jgn sampai hitunganx TDK jelas......ini mangsa cina tuk menguasai Indonesia......."
"26",49,-1,"Ada yg ragu dg pernyataan pak gubernur dg mudahnya pengusaha memberikan lahan mereka ke negara? 🙄🙄"
"27",50,-1,"Adek Prabowo, abang/kakak Erick atau menatu LB? Punya tanah disitu ya ; “Rezeki” mereka.
Tomi Suharto, Keasang Widodo punya duit banyak ya ‘REZEKI’ mereka juga.
Wong mereka punya saudara atau orang tua yang berkuasa/berpebfaruh. Bagi yang ga punya siapa siapa, yang ya ga punya apa”. 

Mau jadi pegawai saja susahnya minta ampun. Jadi ingat kasus anak penyanyi senior yang konon ‘menipu’ orang yang anaknya mau jadi pegawai negeri.

Resiko punya negara baru yang belum juga  truly-managed."
"28",51,1,"Adik Prabowo, semua bekas kroni cendana dan semua dedengkot orde baru mah bukan rahasia lagi memiliki banyak tanah di Kalimantan, Sumatera dan Papua, kok media pada heran atau pura2 baru tau?? 😅"
"29",53,3,"Agaknya begitu rancangan para oknum dan elit utk membegal uang negara utk keuntungan pribadi dan kelompok.
Rezim ahli tukang begal harta negara."
"30",54,0,"Ahhahhahah oligarki untung   rakyat buntung, pak lurah cuma di jadiin boneka"
"31",57,-1,"Alam dirusak warga ❎
alam di rusak negara ✅"
"32",58,-2,"Argumen Joko Widodo lebih kpd suasana propaganda awang awangan yg bukan jejak ke bumi dan membela rakyat"
"33",60,2,"AYO BANGUN BANGUN NGANJUK NGANJUK NGANJUK NGANJUK SEMANGAT SEMANGAT BANGUN BANGUN BANGUN BANGUN BANGUN"
"34",61,-2,"Ayo dong masa mau cuman jadi kaum pasrah aja....kalo gini gini aja gimana mau berkembang...harus bergerak sebelum rusak semua"
"35",62,-2,"Bagaimana drun? Jangan pura pura lupa dah kalau pernah bela mati matian sampe rela jual agama sampe rela ada yg masuk penjara, demo bersilit silit hingga ada yg rela mati saat 2019🤣🤣🤣 

Kadrun menjawab, kalau anies pasti amanah🤭 
Lah lu jangan lupa kalau anies masih bawahan prabowo dlm partai drun😁"
"36",63,1,"bagi bagi laaa...mirip kue 😅...seharusnya rakyat kedepan harus cerdas dan jeli memilih pemimpin..."
"37",64,-1,"Bagi saya ini org miskin semua"
"38",66,-1,"Bahaya Gubernur kaltim Isran Nor...."
"39",67,-1,"Bakal jadi ajang Korupsi Kolusi Nepotisme terbesar di Indonesia !"
"40",69,1,"bangga? ppn kalimantan masih bisa di simsalabim, dah gitu uangnya selain dikantongin perusahaan di kasih kemana? ke elu elu pada buat jatah preman."
"41",70,0,"Banyak mafia nya bro"
"42",71,0,"Banyak Mafia😃"
"43",74,0,"Belom ditanya baru disebut namanya langsung dijelaskan pak gubernur semangat sekali 😅😅😅"
"44",75,2,"Berfikir lah positif untuk kemajuan negara kita"
"45",76,4,"Berkhianat pada partai pendukung, tokoh pendukung bisa jadi nantinya akan berkhianat pada negara,,, Prabowo dulu kami berjuang sebagai relawan pendukung pilpres nanti juga kami berjuang sebagai relawan tidak pendukung pilpres..."
"46",77,1,"Beruntung ada ""Mata Najwa"" dan Najwa Shihab. Selalu saya tunggu liputan-liputan dan kekritisannya. Trmks Mb. Najwa"
"47",80,1,"Bgitu pula yahudi dsna makanya di buat uang kertas karna emas udh di timbun nya dluan.. Jadi uang kertas punah, dia  udh punya byk emas.. Chuazk"
"48",84,0,"Biarin ja ada Allah ini biar di aherat berat pertanggung jawabanya emang mudah minta ampunan dr Allah... Mereka pikir dunia ini milik mereka."
"49",85,-1,"Biasa lah....politik mah gituh...mba najwa pura2 gak paham..."
"50",86,0,"BIASALAAHHHHHHHH......
rakyat semakin sejahtera dengan pejabat pejabat yang sangat memntingkan rakyat nya😭"
"51",87,0,"Bisa memahami mengapa Prof. Emil Salim sangat gundah dg kondisi Indonesia di masa depan."
"52",88,0,"Bongkar habis."
"53",90,-1,"Buat sertifikat aja ampun2 mahal nya harus ada tanda tangan bupati pula ampun, rakyat kecil ya bisa apa"
"54",91,-1,"Bukan akibat sih, tapi lebih kepada alurnya knp kpk ""harus"" diganggu dan disusupi oleh polisi yg notabenenya kagak independen"
"55",93,3,"Bukan keluarga prabowo aja kali , yg punya lahan di sana ....... tapi juga banyak keluarga mentri2 yg lainnya ..... sebentar lagi juga habis tuh lahan2 di sana sama para pemilik modal besar ....... yang kasian mah orang2 di sana , yang pada akhirnya hanya akan jadi buruh di kampungnya sendiri ......... Sumber daya manusia di sana belum siap bersaing dengan pendatang2 dari luar ..... yang punya pendidikan tinggi , punya modal besar , dan punya akses terhadap kekuasaan ......."
"56",94,0,"buktinya bisnis PCR. masalah kemanusiaan pengusaha masih ambil untung 1000%, kalau soal kebanggaan pemerintah santai saja merah putih ngga berkibar di even olahraga internasional, jadi tak perlu diragukan bahwa pak gubernur itu ngibul."
"57",96,2,"Cantikx adk nana,cantik ssui isi hatix ap lgi lw seksi dikit..."
"58",97,1,"Carut marut penataan Tata Ruang di negeri ini, terbungkus rapi oleh preman preman berdasi negeri ini !"
"59",98,2,"Cerdas banget cukong kuasai pejabat....coba kalau presiden pintar pasti bela kepentingan rakuat"
"60",102,2,"Cuan bro... Proyek, bikin kenyang pejabat. Bodo amat sama lingkungan dan nasib rakyat sekitar. 

Gitu kata para pejabat terkait"
