""	"textOriginal"
"1"	",,s, s..,,,,."
"2"	"@5:15 najwa siap2 disomasi tukang somasi lg :D"
"3"	"@baboon pk tepat"
"4"	"@bejo raharjo haha, gausah dikasih tau orang yg kritis mash jg sadar.."
"5"	"@Djo Phian saya slalu berdoa agar rezim dzalim ini tumbang segera. tiada kekuasaan yg abadi dan kedzaliman pasti akan berakhir pada waktunya :)"
"6"	"@James Wan coba kamu kasih tahu masalahnya di mana?"
"7"	"@James Wan cuan bro .kata si ahok 😂 .akhirnya jadilah pulau reklamasi 😂"
"8"	"@kue gue yang mengesahkan HGU kan pemerintah terhadap PIHAK SWASTA. 

Ya sama aja kan kayak kita ngontrak rumah. Lu kalau ngontrak rumah bayar setahun tpi baru 3 bulan lu tempatin disuruh kosongin tpi sisa kontraknya gak diganti rugi lu mau?"
"9"	"@Kupu Malam Tukang wadul"
"10"	"@Mr Bleddx Alam dirusak oleh manusia atas nama negara yg katanya pancasilais"
"11"	"@Ngabloo bae bukan berpura-pura bodoh. Karena dari pertanyaan, kita mendapat jawaban. Setidaknya kebenaran akan terungkap dari pertanyaan yang diajukan."
"12"	"@Rahma Yulia tukar bantal hehew"
"13"	"@Rio Rinelko  zalim yg kamu maksut sp bro jgn sok agamis lo krn lo juga belum tentu masuk surga dan kamu kontribusi mu buat negara apa jgn cuma jd benalu di indo bisa nya cuma hujat dan tidak ada kontribusi nya buat negara ."
"14"	"@rumblemumble kalau cukup ijinnya tidak diperpanjang bagus, tpi kalau pemerintah ingin mengambil HGU ya gnti rugi sisa kontrak HGU nya, masa saya bayar setahun kontrak rumah baru 6 suruh dikosongin dan gak diganti rugi sisa kontraknya, percuma dong saya ngontrak malah rugi"
"15"	"@rumblemumble kan gak komentar didepan latar tpi gak tau kan dibalik layar. Lah kok pemikiran saya, kan itu secara umum bgtu"
"16"	"@Samosir dari mana dulu dong tanahnya."
"17"	"@SANG MUTIARAILHAM Mutiara ilham kaum sakit hati ya kamu haha"
"18"	"@THE STRANGER iya itu kan pemikiran mu ya, nyatanya prabowo dan hashim tidak komentar apa-apa, mungkin karena dikasih jatah proses air juga diperusahaan airnya hashim. kalau yang urusan kontrak mengkontrak itu tinggal dibaca aja diperjanjiannya berapa lama dan kapan selesainya, yang jelas gubernurnya tadi sendiri bicara bahwa pengusaha2 itu membiarkan tanahnya diambil negara, dan ijinnya tidak diperpanjang. beres. selebihnya silahkan anda pikir sendiri mau suudzon atau khusnudzon."
"19"	"@THE STRANGER kalau hgu memang begitu cara kerjanya,kl gk mau lu pindah aja bikin hgu sesukamu di planet lain."
"20"	"\"bukan saya yang bagi \".... Katanya ☺️"
"21"	"\"digaji\", itu kata kerja pasif jadi \"di\"-nya harus digabung"
"22"	"\"rela rela aja mereka kan punya kebanggaan,kebanggaan gak dri cuan\" oalah pakk apa lagi yg di sembunyikan"
"23"	"\"Yg penting keluarga ku kenyang\""
"24"	"5:12 lagi-lagi Lord berperan, luar biasah"
"25"	"5:14 
anda lagii?? 
*pake nada fitra eri*"
"26"	"8:41 gausah ngles pak , bisnis is bisnis. Ada kesempatan dapet Cuan ya pasti disikat gak mungkin direlain gitu aja."
"27"	"https://youtu.be/fkrtRiVk_d0 nih gubernurnya sob.."
"28"	"https://youtu.be/HAvUl73lerw
Ada oknum² yang sangat Dungu.
Lagi lagi bawa PKI ke isu IKN.
https://youtu.be/suCzCbUl9Ws
Entah apa hubungannya??
Selalu bawa² isu PKI.
https://youtu.be/WvPs3C8PnHM
Tanpa bisa membawa bukti.
https://youtu.be/8BUoZjv54LM
Jangan² justru diri sendirilah yang....!? https://youtu.be/dIJvr8kEKcQ
Jadi bagai maling teriak maling.
https://youtu.be/gSeNa15DG1I 
NKRI HARGA MATI ✊"
"29"	"*_Lagian maksa banget Si Raja Fir'aun krempeng planga plongo mindahin ibu kota macam lg kebanyakan uang aja negara,, padahal negara juga lg empot-empotan buat bayar bunga hutang blm lg hutang pokoknya,, perlu ditelusuri ini ada apa dan siapa dibalik rencana busuk ini,, pasti mereka(rezim PKI) sudah ada kontrak dgn mafia-mafia BAJINGAN pengeruk uang negara sehingga rencana busuk ini harus segera terlaksana,,_*"
"30"	"*INDONESIA UNDER PRESIDENT JOKOWI FULL OF VIOLATORS, CORRUPTIONS, COLLUTIONS, NEPOTISM, DAMAGES, LIARS, UNTRUTH, DISTURBES, BETRAYER, TRAITORS & OTHERS...!!!!!*"
"31"	"*mata Najwa tukang rusuh*
*Kalau gak merusuh gak makan*
*Cari makan dengan merusuhi usaha pemerintah*

*Bagus2 pemerintah membangun wilayah calon ibukota baru biar maju malah dirusuhi*

*masyarakat disana banyak yg komentar negatif dengan pemerintah memindahkan ibukota karena mereka berpendidikan rendah sehingga gak tahu manfaat positif kemajuan yg akan dialami oleh wilayah mereka*

*Kenapa mata Najwa gak mewawancarai masyarakat yg sudah berpendidikan tinggi disana yg jauh lebih bisa melihat manfaat pembangunan akibat pembangunan ibukota baru ?*"
"32"	"⛔DAGELAN...
🆘️SESAMA BUS KOTA  DILARANG SALING MENDAHULUI
* Jokowi vs Prabowo
* Jokowi ♾ Prabowo"
"33"	"🇮🇩Justru kalo tanah sebagian besar dikuasai korporasi lebih mudah dan cepat nego dibanding dengan penduduk orang per orang. Ide bagus nih gak usah di goreng2 gak jelas lah @najwa #najwa"
"34"	"👉 Perusahaan di IKN menggunakan TANAH MILIK NEGARA.
Kapan saja Negara bisa mengambil menggunakan tanah Milik Negara Tersebut."
"35"	"💜 Alhamdulillah.. terimakasih syarifah najwa 👍 SALAM SAUDARA 🇲🇨"
"36"	"😀"
"37"	"😂"
"38"	"😄😄😄😄 otak nasbung pendek"
"39"	"1 persen org2 superkaya mnguasai 99 persen kekayaan indonesia..pemerintah harusnya malu ga mampu meratakan kekayaan alam untuk sebesar2nya buat kesejahteraan rakyat0"
"40"	"1% menguasai kekayaan"
"41"	"180 ribu HA...oooo.kt p owi..lahan tanah telah dikuasai ...bohong...bohong lagi 
..kok suka berbohong yaa 
.ambisi memang perlu...kalau dibungkus kebohongan ...apa jadinya ...mau dibawa kemana IKN ke depan ,???,"
"42"	"8"
"43"	"À"
"44"	"Ada agenda kapitalis apaa di sana?😌"
"45"	"Ada baikx pemerintah mendata n mencatat nama2 & alamat gerombolan suku dayak+pemimpin besarx iblis cilik riwut, iblis wa.gara, iblis sabran ahmad, iblis kma usop, iblis fam leiden, iblis fam tongken, iblis fam binti, iblis fam narang dkk + keturunanx+kroni2x,.serahkan ke densus 88 agar mreka bs segra ditangkap, dipenjarakan seumur hudup, atau lgs dibunuh aja biar mreka tdk bs lg menteror, mempersekusi, mmbunuh n memeras sesama dayak maupun membunuh memenggal kpala warga madura jawa sunda bugis mksr padang banjar dll thn 2001 lalu,..mohon densus 88 segra bertindak,..amen tks TYM"
"46"	"Ada keluwarga  besar."
"47"	"Ada lu juga di pusaran Anis nana, ada ada saja lu. Way tak pernah meng obrolin jujunngan lu gobernoor DKI. Formula E apa kabar nana, sumur siluman gimana nana"
"48"	"Ada proyek dibalik ibu kota baru......jgn sampai hitunganx TDK jelas......ini mangsa cina tuk menguasai Indonesia......."
"49"	"Ada yg ragu dg pernyataan pak gubernur dg mudahnya pengusaha memberikan lahan mereka ke negara? 🙄🙄"
"50"	"Adek Prabowo, abang/kakak Erick atau menatu LB? Punya tanah disitu ya ; “Rezeki” mereka.
Tomi Suharto, Keasang Widodo punya duit banyak ya ‘REZEKI’ mereka juga.
Wong mereka punya saudara atau orang tua yang berkuasa/berpebfaruh. Bagi yang ga punya siapa siapa, yang ya ga punya apa”. 

Mau jadi pegawai saja susahnya minta ampun. Jadi ingat kasus anak penyanyi senior yang konon ‘menipu’ orang yang anaknya mau jadi pegawai negeri.

Resiko punya negara baru yang belum juga  truly-managed."
"51"	"Adik Prabowo, semua bekas kroni cendana dan semua dedengkot orde baru mah bukan rahasia lagi memiliki banyak tanah di Kalimantan, Sumatera dan Papua, kok media pada heran atau pura2 baru tau?? 😅"
"52"	"Again and again.. ada nama Sang Lord Luhut"
"53"	"Agaknya begitu rancangan para oknum dan elit utk membegal uang negara utk keuntungan pribadi dan kelompok.
Rezim ahli tukang begal harta negara."
"54"	"Ahhahhahah oligarki untung   rakyat buntung, pak lurah cuma di jadiin boneka"
"55"	"Ajang bancakan...oh Ibu Pertiwi ku"
"56"	"Alam dirusak manusia"
"57"	"Alam dirusak warga ❎
alam di rusak negara ✅"
"58"	"Argumen Joko Widodo lebih kpd suasana propaganda awang awangan yg bukan jejak ke bumi dan membela rakyat"
"59"	"ASSAMUALAIKUM WR WB. OOO...ERAIBUNTUN. UDA2...DATO2...MENA MAMA ANDI OKONG. BUEN DOKO ENA JADI MA KOTA TAKA NE...DEEEEOOO....BAWE2 REGOK....HAHAHAHA.👍👍👍👍👍👍👍👍👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏"
"60"	"AYO BANGUN BANGUN NGANJUK NGANJUK NGANJUK NGANJUK SEMANGAT SEMANGAT BANGUN BANGUN BANGUN BANGUN BANGUN"
"61"	"Ayo dong masa mau cuman jadi kaum pasrah aja....kalo gini gini aja gimana mau berkembang...harus bergerak sebelum rusak semua"
"62"	"Bagaimana drun? Jangan pura pura lupa dah kalau pernah bela mati matian sampe rela jual agama sampe rela ada yg masuk penjara, demo bersilit silit hingga ada yg rela mati saat 2019🤣🤣🤣 

Kadrun menjawab, kalau anies pasti amanah🤭 
Lah lu jangan lupa kalau anies masih bawahan prabowo dlm partai drun😁"
"63"	"bagi bagi laaa...mirip kue 😅...seharusnya rakyat kedepan harus cerdas dan jeli memilih pemimpin..."
"64"	"Bagi saya ini org miskin semua"
"65"	"Bahasa pak gub, ga masuk akal logika seorangpun apalagi pengusaha 🤣"
"66"	"Bahaya Gubernur kaltim Isran Nor...."
"67"	"Bakal jadi ajang Korupsi Kolusi Nepotisme terbesar di Indonesia !"
"68"	"Balada orang² pedalaman bisa menjadi kenyataan"
"69"	"bangga? ppn kalimantan masih bisa di simsalabim, dah gitu uangnya selain dikantongin perusahaan di kasih kemana? ke elu elu pada buat jatah preman."
"70"	"Banyak mafia nya bro"
"71"	"Banyak Mafia😃"
"72"	"Baru sadar ya, Madura vs Dayak aja mainannya Oknum elit pusat"
"73"	"Beda crita itu"
"74"	"Belom ditanya baru disebut namanya langsung dijelaskan pak gubernur semangat sekali 😅😅😅"
"75"	"Berfikir lah positif untuk kemajuan negara kita"
"76"	"Berkhianat pada partai pendukung, tokoh pendukung bisa jadi nantinya akan berkhianat pada negara,,, Prabowo dulu kami berjuang sebagai relawan pendukung pilpres nanti juga kami berjuang sebagai relawan tidak pendukung pilpres..."
"77"	"Beruntung ada \"Mata Najwa\" dan Najwa Shihab. Selalu saya tunggu liputan-liputan dan kekritisannya. Trmks Mb. Najwa"
"78"	"Betapa \"dobol-kuro\"-nya konsep IKN."
"79"	"Betul"
"80"	"Bgitu pula yahudi dsna makanya di buat uang kertas karna emas udh di timbun nya dluan.. Jadi uang kertas punah, dia  udh punya byk emas.. Chuazk"
"81"	"Biangkerokkk knpa di tarukkk di ibu kota baru,, kerja yg bener tuu adikwowo,, jgn jadi mafeakmkk dan jadi kotorrrkaya dki"
"82"	"Biar waktu yg menjawab bak najuwa"
